###❝Корень эсперанто❞, ❝(полностью тот же) корень эсперанто❞   в строке означает、что хотя он имеет тот же приоритет、что и соответствующая строка замены、на практике замена строки (иероглифов) не выполняется.
Корень эсперанто##, руби с японским переводом##
pastr,священник
radik,корень
serur,замок
solid,твердое
sonor,звон
strek,линия
sxvit,пот
tabak,табак
tabel,таблица
titol,заголовок
tondr,гром
valiz,чемодан
ventr,живот
alumet,спичка
aparat,прибор
brasik,капуста
citron,цитрон
cxifon,тряпка
dekliv,склон
dezert,пустыня
elektr,электричество
energi,энергия
fiancx,жених
hirund,ласточка
kelner,официант
kvalit,качество
majstr,мастер
mantel,плащ
martel,молоток
matrac,матрас
menton,подбородок
orangx,апельсин
origin,происхождение
potenc,власть
salajr,зарплата
sekund,секунда
societ,общество
stomak,желудок
sxultr,плечо
tapisx,ковёр
tritik,пшеница
aventur,приключение
cigared,сигарета
distanc,расстояние
embaras,затруднение
kamarad,товарищ
kaserol,кастрюля
komitat,комитет
kongres,съезд
kvadrat,квадрат
magazen,склад
pasport,паспорт
politik,политика
registr,реестр
ter/pom##,ter/pom##
akcident,авария
auxtobus,автобус
auxtomat,автомат
cxokolad,шоколад
direktor,директор
instinkt,инстинкт
karakter,характер
kauxcxuk,резина
material,материал
standard,знамя
telegraf,телеграф
restoraci,ресторан
ark,дуга
baz,основа
beb,младенец
bub,сорванец
bud,сарай
fel,мех
hok,крюк
huf,копыто
jur,закон
kas,касса
kin,кино
kom,запятая
kot,грязь
lup,волк
mam,грудь
map,карта
min,шахта
mus,мышь
net,чистовик
nod,узел
orf,сирота
ort,прямой угол
pat,сковорода
pil,батарея
pir,груша
pup,кукла
rat,крыса
rip,ребро
rob,одежда
tip,тип
ton,тон
urs,медведь
var,товар
vel,парус
vit,виноградная лоза
abel,пчела
auxt,авто
bluz,блузка
boat,лодка
brov,бровь
cerb,мозг
cxek,чек
cxen,цепь
disk,диск
dram,драма
drap,ткань
dusx,душ
ezok,щука
farb,краска
febr,лихорадка
fend,трещина
foir,ярмарка
fost,столб
frag,клубника
fulg,саж
funt,фунт
gant,перчатка
geni,гений
glor,слава
golf,залив
hajl,град
hero,герой
kemi,химия
kord,струна
kork,пробка
krad,решётка
kran,кран
kret,мел
kriz,кризис
kron,корона
kugl,пуля
kupr,медь
lift,лифт
list,список
mast,мачта
nadl,стрелка
nerv,нерв
oliv,олива
park,парк
pasi,страсть
pask,пасха
pelt,мех
plet,поднос
poem,стих
proz,проза
pulm,лёгкое
pulv,порох
rang,ранг
revu,журнал
ritm,ритм
seks,пол
sens,чувство
silk,шелк
simi,обезьяна
sojl,порог
stil,стиль
stri,полоса
sxel,скорлупа
tend,палатка
verb,глагол
verg,прут
vert,макушка
vidv,вдовец
virt,добродетель
vual,вуаль
vulp,лиса
afisx,афиша
album,альбом
almoz,милостыня
arane,паук
asoci,ассоциация
avenu,проспект
aviad/il##,aviad/il##
barel,бочка
bazar,рынок
betul,берёза
brems,тормоз
butik,магазин
detal,деталь
diabl,дьявол
emoci,эмоция
enigm,загадка
esenc,суть
fauxk,пасть
fizik,физика
framb,малина
grajn,зерно
hxemi,химия
ideal,идеал
juvel,драгоценность
katen,оковы
kitel,блуза
krucx,кувшин
krust,корка
kubut,локоть
kukol,кукушка
kverk,дуб
lamen,пласт
marcx,болото
metod,метод
model,модель
motor,мотор
nivel,уровень
palac,дворец
panj,мама
penik,кисть
piocx,кирка
plumb,свинец
poezi,поэзия
salon,гостиная
sauxc,соус
sitel,ведро
sklav,раб
sport,спорт
stamp,печать
stang,стержень
stump,пень
sxtal,сталь
sxtof,ткань
teatr,театр
teori,теория
teren,земля
trajn,поезд
trajt,черта
trunk,ствол
venen,яд
vesxt,жилет
abomen,отвращение
angxel,ангел
animal,животное
apetit,аппетит
apotek,аптека
benzin,бензин
bicikl,велосипед
bombon,конфета
cement,цемент
cxeriz,вишня
desert,десерт
fabrik,завод
financ,финансы
funebr,траур
funkci,функция
garagx,гараж
imperi,империя
impost,налог
impres,впечатление
kalkan,пятка
kalson,трусы
kamion,грузовик
kandel,свеча
kanzon,песня
kastel,замок
klient,клиент
kol/um##,kol/um##
kurten,занавес
mandat,мандат
mister,тайна
moskit,комар
muskol,мышца
ombrel,зонт
pacxj,папа
parfum,аромат
patron,покровитель
petrol,нефть
posten,пост
pozici,позиция
proces,иск
profit,прибыль
proviz,запас
pulvor,порошок
recept,рецепт
rekord,запись
rezerv,резерв
signal,сигнал
sistem,система
surfac,поверхность
sxofor,водитель
tajlor,портной
trezor,сокровище
trikot,трикотаж
vakcin,вакцина
advokat,адвокат
alkohol,алкоголь
ampleks,размер
brosxur,брошюра
bulvard,бульвар
deficit,дефицит
ekonomi,экономика
elefant,слон
jxurnal,газета
kabinet,кабинет
kapital,капитал
koncert,концерт
krepusk,сумерки
kvartal,район
miliard,миллиард
pejzagx,пейзаж
problem,проблема
profesi,профессия
simpati,сочувствие
student,студент
sxrauxb,винт
tempest,буря
traktor,трактор
tri/angul##,tri/angul##
trotuar,тротуар
adjektiv,прилагательное
dekoraci,украшение
ekvilibr,равновесие
esperant,надежда
hospital,больница
intelekt,умственный
kalendar,календарь
kilometr,километр
komision,комиссия
mehxanik,механика
milimetr,миллиметр
original,оригинал
pretekst,предлог
struktur,структура
telegram,телеграмма
tribunal,трибунал
bibliotek,библиотека
fundament,основа
ingxenier,инженер
konferenc,конференция
konscienc,совесть
literatur,литература
mehxanism,механизм
rekompenc,вознаграждение
respublik,республика
sekretari,секретарь
apartament,квартира
auxtomobil,автомобиль
auxtoritat,власть
instrument,инструмент
medikament,лекарство
temperatur,температура
cirkonstanc,обстоятельство
eksperiment,эксперимент
mal/varm/um##,mal/varm/um##
ajl,чеснок
akn,угри
aks,ось
akt,акт
ale,аллея
alg,водоросль
apr,кабан
azi,Азия
bal,бал
bet,свёкла
buk,пряжка
cep,лук
cir,воск
dot,приданое
ehx,эхо
fab,боб
fac,лицо
fag,бук
fig,инжир
gal,желчь
gru,журавль
gum,резина
hal,зал
jug,ярмо
kal,мозоль
kaz,случай
kub,куб
lad,жесть
lak,лак
lap,лопух
lin,лён
lot,жребий
luk,люк
mas,куча
mat,мат
nuk,затылок
pap,папа
pav,павлин
pig,сорока
pus,гной
ran,лягушка
ren,почка
rib,смородина
rim,рифма
rol,роль
ros,роса
sag,стрела
sin,грудь
ski,лыжи
sof,диван
tig,стебель
tuf,пучок
tun,тон
vip,кнут
akci,акция
atom,атом
aven,овёс
bant,бант
bark,шлюпка
bask,подол
bend,лента
blok,блок
bors,биржа
bovl,миска
brid,узда
brut,скот
bukl,локон
bulb,луковица
bulk,булочка
cerv,олень
cign,лебедь
cxel,клетка
dand,щеголь
diet,диета
dorn,шип
etap,этап
etat,отчёт
fecx,осадок
felt,фетр
frak,фрак
fraz,фраза
fung,гриб
garb,сноп
gent,род
glav,меч
gobi,пескарь
gram,грамм
greg,стадо
grip,грипп
grot,пещера
gudr,дёготь
gxib,горб
hegx,живая изгородь
himn,гимн
hxor,хор
kacx,каша
kagx,клетка
kaka,какао
kakt,кактус
karn,плоть
karp,карп
kejl,колышек
kern,ядро
klub,клуб
korv,ворон
kosm,космос
kult,культ
lacx,шнур
lard,сало
larv,личинка
lice,лицей
likv,жидкость
lili,лилия
maiz,кукуруза
malv,мальва
mens,ум
menu,меню
miel,мёд
musk,мох
muze,музей
nuks,орех
oper,опера
oval,овал
palm,пальма
palt,пальто
pane,сбой
perl,жемчуг
pian,пианино
pice,ель
pipr,перец
plag,бедствие
prun,слива
pudr,пудра
punt,кружево
raci,разум
rent,доход
ruin,руина
rust,ржавчина
situ,место
sled,сани
sorg,сорго
spik,колос
spur,след
stan,олово
sulk,борозда
takt,ритм
tali,талия
tigr,тигр
tort,пирог
tram,трамвай
trup,труппа
vaks,воск
vejn,вена
vesp,оса
vind,подгузник
zink,цинк
afrik,Африка
agent,агент
akord,согласие
akrid,саранча
aktor,актёр
alarm,тревога
ampol,ампула
angil,угорь
anser,гусь
artik,сустав
bacil,бацилла
bambu,бамбук
banan,банан
brand,бренди
bronz,бронза
buked,букет
cigar,сигара
cikad,цикада
cinam,корица
cindr,пепел
cirkl,круг
civit,гражданство
cxerk,гроб
debet,дебет
diant,гвоздика
dogan,пошлина
efekt,эффект
ekran,экран
emajl,эмаль
event,событие
fabel,сказка
fasad,фасад
fason,покрой
fluid,жидкость
fotel,кресло
front,фронт
funel,воронка
gxerm,зародыш
hepat,печень
horde,ячмень
infer,ад
ironi,ирония
kaban,хижина
kahel,плитка
kajut,каюта
kamel,верблюд
kanal,канал
kankr,рак
karaf,графин
kokos,кокос
krani,череп
krest,гребень
kukum,огурец
kupon,купон
kusen,подушка
latun,латунь
lauxb,беседка
lekci,лекция
lesiv,щелок
limak,улитка
logik,логика
lotus,лотос
melon,дыня
moral,мораль
muzel,морда
nilon,нейлон
ocean,океан
palat,нёбо
palis,колышек
papag,попугай
paser,воробей
pensi,пенсия
peron,крыльцо
pilot,пилот
pland,подошва
plast,пластик
porci,доля
princ,принц
pupil,зрачок
rabat,скидка
rafan,редька
rauxp,гусеница
resum,резюме
rimen,ремень
roman,роман
salat,салат
salik,ива
satir,сатира
sciur,белка
sekal,рожь
sekci,раздел
senat,сенат
split,щепка
spong,губка
stadi,этап
statu,статуя
sterk,удобрение
strig,сова
strut,страус
sxink,ветчина
sxtip,бревно
tapet,обои
tarif,тариф
tegol,черепица
tekst,текст
teras,терраса
tomat,томат
tuber,бугор
tunel,туннель
velur,бархат
veruk,бородавка
vezik,пузырь
volum,том
adverb,наречие
akcent,акцент
alauxd,жаворонок
amator,любитель
amerik,Америка
arteri,артерия
asfalt,асфальт
auxtor,автор
barbir,парикмахер
bugxet,бюджет
bulten,бюллетень
cikatr,шрам
cikoni,аист
cirkel,циркуль
daktil,финик
dialog,диалог
ego/ist##,ego/ist##
eklezi,церковь
emerit,пенсионер
euxrop,Европа
fajenc,фаянс
fazeol,фасоль
fontan,фонтан
formik,муравей
formul,формула
fripon,мошенник
furagx,корм
galosx,галоша
gvardi,гвардия
gxemel,близнец
hangar,ангар
haring,сельдь
hazard,случай
hektar,гектар
herold,вестник
higien,гигиена
impuls,импульс
insign,знак
intest,кишка
jubile,юбилей
karton,картон
kasked,кепка
kavern,пещера
kirurg,хирург
klimat,климат
klinik,клиника
kolegi,колледж
kolomb,голубь
kolumn,колонка
komedi,комедия
konsul,консул
konval,ландыш
kornik,ворона
kostum,костюм
kredit,кредит
kukurb,тыква
kunikl,кролик
kurent,ток
lacert,ящерица
licenc,лицензия
maleol,лодыжка
materi,материя
mirtel,черника
monstr,чудовище
oficir,офицер
orator,оратор
papili,бабочка
pendol,маятник
period,период
persik,персик
pionir,пионер
planed,планета
platan,платан
plural,множеств.
profet,пророк
prolet,пролетарий
pronom,местоимение
reakci,реакция
regxim,режим
rivolu,вращение
ruband,лента
skorpi,скорпион
spinac,шпинат
stamen,тычинка
statur,рост
surtut,пальто
sxakal,шакал
sxauxm,пена
teknik,техника
testud,черепаха
torent,поток
trafik,трафик
tumult,беспорядок
turism,туризм
turist,турист
vertic,вершина
viktim,жертва
violon,скрипка
vulkan,вулкан
vultur,гриф
abrikot,абрикос
akademi,академия
alfabet,алфавит
alumini,алюминий
ambasad,посольство
anekdot,анекдот
apertur,отверстие
apostol,апостол
asemble,собрание
bagatel,пустяк
bakteri,бактерия
bandagx,бинт
bifstek,стейк
budgxet,бюджет
burgxon,почка
central,центр
cirkvit,схема
cxar/um##,ĉar/um##
dimensi,размер
ekvator,экватор
element,элемент
epidemi,эпидемия
fantazi,фантазия
fenomen,феномен
gelaten,желатин
general,генерал
girland,гирлянда
harmoni,гармония
instanc,инстанция
invalid,инвалид
kaldron,котёл
kasxtan,каштан
katalog,каталог
kirurgi,хирургия
kolonel,полковник
komisar,комиссар
kompani,компания
koncept,концепция
konkord,согласие
konkurs,соревнование
koridor,коридор
kristal,кристалл
lantern,фонарь
latitud,широта
medicin,медицина
mineral,минерал
minimum,минимум
ministr,министр
obstakl,препятствие
orkestr,оркестр
pacifik,Тихий океан
palpebr,веко
pantofl,тапок
paradiz,рай
paralel,параллель
plastik,пластика
portret,портрет
princip,принцип
program,программа
projekt,проект
proverb,пословица
provinc,провинция
rendevu,встреча
sin/ten##,sin/ten##
situaci,ситуация
stadion,стадион
subjekt,тема
tehxnik,техника
tendenc,тенденция
tinktur,краситель
tradici,традиция
tragedi,трагедия
traktat,договор
trumpet,труба
uniform,форма
vegetal,растение
viadukt,виадук
volumen,объём
zoologi,зоология
atlantik,Атлантический
avantagx,преимущество
bracelet,браслет
cirkuler,циркуляр
dokument,документ
federaci,союз
generaci,поколение
geografi,география
gramatik,грамматика
gxendarm,жандарм
horizont,горизонт
individu,индивид
kandidat,кандидат
karnaval,карнавал
kategori,категория
komun/um##,komun/um##
krokodil,крокодил
longitud,долгота
maksimum,максимум
marmelad,мармелад
monument,памятник
parasxut,парашют
pasagxer,пассажир
pland/um##,pland/um##
porcelan,фарфор
procent,процент
profesor,профессор
radiator,радиатор
regiment,полк
rekt/angul##,rekt/angul##
sandvicx,бутерброд
sindikat,профсоюз
singular,единственное число
specimen,образец
spektakl,шоу
substanc,вещество
teritori,территория
vertikal,вертикаль
ambasador,посол
auxstrali,Австралия
centimetr,сантиметр
ekspozici,выставка
inspektor,инспектор
kalkan/um##,kalkan/um##
konfidenc,секрет
lokomotiv,локомотив
matematik,математика
metalurgi,металлургия
ministeri,министерство
najtingal,соловей
ortografi,орфография
parlament,парламент
proletari,пролетарий
propozici,предложение
psikologi,психология
suplement,дополнение
termometr,термометр
elektronik,электроника
helikopter,вертолёт
horizontal,горизонталь
komplement,дополнение
konsekvenc,последствие
konstituci,конституция
laboratori,лаборатория
leuxtenant,лейтенант
mediterane,Средиземное
substantiv,существительное
universitat,университет
s-ro##,s-ro##
s-ino##,s-ino##
sinjor/in##,sinjor/in##
alk,лось
aln,ольха
ann,Анна
bed,грядка
boa,удав
buf,жаба
cim,баг
col,дюйм
dam,дама
dig,дамба
duk,герцог
fav,парша
fok,тюлень
fut,фут
gad,треска
gam,гамма
gri,крупа
guf,филин
huz,белуга
kan,тростник
ken,смолистое дерево
ker,черви
kil,киль
kuf,шапка
kul,комар
kup,банка
laf,лава
lir,лира
lod,лот
lol,рожь
mac,маца
mel,барсук
mes,месса
mev,чайка
muf,муфта
muk,слизь
mul,мул
nap,рапс
peg,дятел
pol,поляк
pul,блоха
rap,репа
rif,риф
rod,причал
rot,отряд
rub,мусор
rum,ром
rus,русский
seb,сало
sel,седло
tez,тезис
tul,тюль
ulm,вяз
uln,локтевой
unc,унция
urn,урна
vil,ворс
abat,аббат
acer,клён
akar,клещ
alte,алтей
alun,квасцы
amel,крахмал
anas,утка
angl,англичанин
aniz,анис
ankr,якорь
arcx,смычок
arde,цапля
aren,арена
atut,козырь
avel,фундук
aviz,уведомление
azot,азот
bast,луб
bert,Берта
blat,таракан
bram,лещ
bran,отруби
burd,шмель
cedr,кедр
citr,цитра
cxam,серна
cxan,курок
dogm,догма
drak,дракон
drog,наркотик
ebon,эбеновое дерево
eter,эфир
fabl,басня
falk,сокол
fibr,волокно
flan,пирог
flok,хлопья
flut,флейта
fraj,икра
ftiz,туберкулёз
gajl,галл
gips,гипс
glan,жёлудь
glim,слюда
graf,граф
gril,сверчок
gros,крыжовник
gurd,шарманка
ibis,ибис
idol,идол
kalk,известь
kand,леденец
kard,чертополох
karo,бубны
kask,шлем
kaze,творог
kegl,кегля
klap,клапан
klav,клавиша
kluz,шлюз
kojn,клин
koks,бедро
konk,раковина
kren,хрен
krep,креп
krop,зоб
krup,круп
lake,лакей
laks,понос
legi,легион
lent,чечевица
lepr,проказа
lian,лиана
lien,селезёнка
link,рысь
liut,лютня
lojt,налим
lorn,бинокль
lumb,поясница
lutr,выдра
magi,магия
mana,манна
mari,Мария
mask,маска
masx,петля
mecx,фитиль
mejl,миля
ment,мята
merl,дрозд
mesi,мессия
mili,просо
mirh,мирра
mirt,мирт
misi,миссия
mops,мопс
most,виноградный сок
nicx,ниша
omar,омар
opal,опал
ostr,устрица
paru,синица
pecx,смола
pelv,таз
perk,окунь
pest,чума
petr,Пётр
pini,сосна
pips,пип
plik,косичка
plot,плотва
popl,тополь
pram,паром
sakr,ругать
salm,лосось
sepi,каракатица
sofi,София
sorp,рябина
spat,шпат
spin,позвоночник
stab,штаб
step,степь
stip,стебель
stof,ткань
stup,пакля
sxak,шахматы
sxal,шаль
sxam,замша
taft,тафта
talp,крот
tetr,тетерев
tibi,большеберцовая кость
tili,липа
tine,моль
torf,торф
trab,балка
tref,трефы
tril,трель
trip,требуха
trog,кормушка
tron,трон
truf,трюфель
trul,кельма
trut,форель
turd,дрозд
turk,турок
turt,горлица
uter,матка
uxat,ватт
vafl,вафля
vals,вальс
vekt,балка
zebr,зебра
altar,алтарь
ambos,наковальня
anton,Антон
ardez,сланец
argil,глина
aspid,аспид
balen,кит
barcx,борщ
boben,катушка
brank,жабры
bubal,бизон
bufed,шведскийстол
cejan,василе́к
dativ,дательный
datur,дурман
demon,демон
denar,денарий
deviz,девиз
domen,домино
embri,эмбрион
emili,Эмилия
ermen,горностай
ermit,отшельник
facet,грань
fazan,фазан
femur,бедро
filik,папоротник
flegm,спокойствие
fokus,фокус
franc,француз
frank,франк
fring,зяблик
galon,галун
gazel,газель
genot,генетта
georg,Георг
gitar,гитара
gland,железа
grosx,грош
hebre,еврей
heder,плющ
herez,ересь
herni,грыжа
hirud,пиявка
hosti,облатка
husar,гусар
hxaos,хаос
idili,идиллия
johan,Иоанн
jozef,Иосиф
kalik,чаша
kambi,вексель
kamer,камера
kanab,конопля
kanap,диван
kapel,часовня
kapon,кастрированный петух
kapor,каперсник
kapot,капот
karas,карась
karob,рожковое дерево
katun,хлопок
kerub,херувим
kiras,броня
klaft,сажень
klosx,колпак
koaks,кокс
koleg,коллега
kolon,столб
komiz,продавец
komod,комод
konus,конус
kopek,копейка
koran,Коран
kramp,скоба
kring,крендель
krisp,рюш
krist,Христос
kupol,купол
kvarc,кварц
kvart,четвёртый
lanug,пух
lauxr,лавр
libel,стрекоза
liken,лишайник
livre,ливрея
logxi,ложа
lupol,хмель
lustr,люстра
luter,Лютер
medal,медаль
meriz,черешня
moned,галка
morus,тутовник
mosxt,величие
negoc,бизнес
nobel,дворянин
novic,новичок
nuanc,оттенок
oblat,печать
okzal,щавель
orden,орден
orgen,орган
pagxi,паж
papav,мак
pariz,Париж
pauxl,Пауль
pavim,мостовая
pedik,вошь
percx,ерш
piked,караул
pilol,таблетка
pirit,пирит
pirol,снегирь
piroz,изжога
pisxt,поршень
plusx,плюш
poent,балл
pokal,кубок
polus,полюс
potas,поташ
prujn,иней
pudel,пудель
pumik,пемза
puncx,пунш
putor,хорёк
raben,раввин
rapir,рапира
regol,королёк
rezin,смола
rostr,хобот
ruben,рубин
safir,сапфир
salvi,шалфей
sigel,печать
silab,слог
silik,кремень
silur,сом
silvi,славка
sirop,сироп
skabi,чесотка
skadr,эскадрон
skarp,шарф
skvam,чешуя
sorik,землеройка
spion,шпион
spron,шпора
stabl,стол
sturg,осётр
sturn,скворец
sxalm,дудка
sxark,акула
sxelk,подтяжки
sxild,щит
sxind,дранка
sxlim,грязь
taban,слепень
tavol,слой
tempi,висок
tetan,столбняк
tetra,рябчик
timon,оглобля
topaz,топаз
torcx,факел
tromb,водяной смерч
tulip,тюльпан
ulcer,язва
urtik,крапива
vanil,ваниль
vasal,вассал
velen,пергамент
verst,верста
vezir,визирь
vipur,гадюка
vokal,гласный
zenit,зенит
zibel,соболь
zizel,суслик
absces,абсцесс
absint,полынь
alcion,зимородок
amfibi,амфибия
ananas,ананас
artrit,артрит
atripl,ораш
berlin,Берлин
bismut,висмут
boraks,бура
buljon,бульон
bulonj,Булонь
busxel,бушель
centim,сантим
cikori,цикорий
cimbal,тарелка
cinabr,киноварь
cipres,кипарис
cxarpi,линт
damask,дамаск
delfen,дельфин
didelf,опоссум
embusk,засада
epolet,эполет
erinac,ёж
ernest,Эрнест
eskadr,эскадра
faktur,счёт
falbal,оборка
fantom,призрак
faring,глотка
fenkol,фенхель
ferdek,палуба
fistul,свищ
flanel,фланель
fosfor,фосфор
frangx,бахрома
furunk,фурункул
fusten,фустян
galeri,галерея
gamasx,гетры
german,немец
granat,гранат
granit,гранит
grenad,граната
grifel,грифель
gxiraf,жираф
haladz,вонь
hamstr,хомяк
hispan,испанец
hximer,химера
hxoler,холера
ingven,пах
izrael,Израиль
jasmen,жасмин
kalesx,карета
kalvin,Кальвин
kamfor,камфора
kamlot,камлот
kanajl,негодяй
kanari,канарейка
kantor,певец
kanvas,холст
kapsul,капсула
kapucx,капюшон
kardel,щегол
karmin,кармин
karpen,граб
kastor,бобр
kaviar,икра
kobalt,кобальт
kobold,гоблин
kolbas,колбаса
kolibr,колибри
kolimb,гагара
kolubr,уж
komuni,причастие
kontor,офис
kontur,контур
kornic,карниз
korpus,корпус
koturn,перепел
kraken,крекер
kratag,боярышник
krater,кратер
kronik,летопись
kurier,гонец
lampir,светлячок
laring,гортань
lavang,лавина
legend,легенда
lekant,ромашка
lentug,веснушка
levkoj,левкой
likvor,ликёр
litani,литания
london,Лондон
magnet,магнит
makzel,челюсть
mangan,марганец
markot,отводка
marmor,мрамор
marmot,сурок
mastik,шпатлёвка
migdal,миндаль
miogal,ондатра
miozot,незабудка
monahx,монах
morbil,корь
morter,раствор
muskat,мускатный орех
muslin,муслин
mustel,куница
nanken,нанкин
narcis,нарцисс
nikola,Николай
notari,нотариус
orakol,оракул
paletr,палитра
panter,пантера
parget,паркет
parohx,приход
parter,партер
pastel,леденец
patent,патент
patrol,патруль
pfenig,пфенниг
pistak,фисташка
pistol,пистолет
plastr,пластырь
platen,платина
ponard,кинжал
porfir,порфир
porter,портер
primol,примула
prunel,терн
purpur,пурпур
rekrut,новобранец
rempar,бастион
risort,пружина
rosmar,морж
rozari,чётки
rubrik,рубрика
safran,шафран
sambuk,бузина
sankci,санкция
sardel,сардина
sceptr,скипетр
selakt,сыворотка
servic,посуда
servut,крепостное право
siring,сирень
skapol,лопатка
skarab,жук
skolop,вальдшнеп
skurgx,плеть
sofism,софизм
sopran,сопрано
spalir,шпалер
stefan,Стефан
sufiks,суффикс
sukcen,янтарь
sulfur,сера
talent,талант
tambur,барабан
tenden,сухожилие
teodor,Теодор
termin,термин
testik,яичко
timian,чабрец
tombak,томбак
trahxe,трахея
tremol,осина
tribun,трибуна
tropik,тропики
turban,тюрбан
turkis,бирюза
turnir,турнир
urogal,глухарь
variol,оспа
viburn,калина
vikari,викарий
vinagr,уксус
vizier,козырёк
volupt,чувственность
ablativ,аблатив
antimon,сурьма
arleken,шут
arsenik,мышьяк
artifik,уловка
asparag,спаржа
bajonet,шты́к
bastion,бастион
beladon,белладонна
biskvit,бисквит
cxampan,шампанское
cxarnir,петля
diamant,алмаз
episkop,епископ
esxafod,эшафот
fraksen,ясень
frangol,крушина
fringel,чиж
genitiv,родительный падеж
henriet,Генриетта
hidrarg,ртуть
hiskiam,белена
histrik,дикобраз
jugland,грецкий орех
juniper,можжевельник
kalikot,калика
kamizol,камзол
kamomil,ромашка
kapitan,капитан
kapitel,капитель
kapreol,косуля
kapucen,капуцин
karaben,карабин
kartocx,патрон
karusel,карусель
kavalir,рыцарь
klarnet,кларнет
klister,клизма
koklusx,коклюш
kolofon,канифоль
kompres,компресс
kurator,опекун
kvitanc,квитанция
leontod,одуванчик
leopard,леопард
limonad,лимонад
lonicer,жимолость
ludovik,Людвиг
lunatik,сумасшедший
maroken,марокканская кожа
marsxal,маршал
meleagr,индюк
membran,пленка
mihxael,Михаил
monarhx,монарх
mustard,горчица
negligx,неглиже
nikodem,Никодем
novjork,Нью-Йорк
oksigen,кислород
oksikok,клюква
parazit,паразит
pastecx,паштет
pelikan,пеликан
perdrik,куропатка
poligon,гречиха
prefiks,приставка
redakci,редакция
rinocer,носорог
salpetr,селитра
sentenc,поговорка
skarlat,алый
skorbut,цинга
skrofol,скрофулёз
smerald,изумруд
sterled,стерлядь
stertor,хрипение
sxiller,Шиллер
umbilik,пупок
univers,вселенная
varsovi,Варшава
verdigr,пати́на
vertebr,позвонок
vespert,летучая мышь
vestibl,вестибюль
vilhelm,Вильгельм
virtuoz,виртуоз
vitriol,витриол
zingibr,имбирь
akcipitr,ястреб
akuzativ,винительный падеж
argument,аргумент
arhxaism,архаизм
artisxok,артишок
baldaken,балдахин
briliant,драгоценность
diplomat,дипломат
distrikt,район
elizabet,Елизавета
fragment,фрагмент
framason,масон
frugileg,грач
hidrogen,водород
hortulan,овсянка
institut,институт
kantarid,жук-солдатик
kariofil,гвоздика
kartilag,хрящ
katarakt,катаракта
kocxenil,кошениль
kokcinel,божья коровка
konvulsi,судорога
leksikon,лексикон
marcipan,марципан
medalion,медальон
monarhxi,монархия
obstrukc,препятствие
paradoks,парадокс
parentez,скобка
particip,причастие
pasament,тесьма
pastinak,пастернак
pergamen,пергамент
peritone,брюшина
perlamot,перламутр
petromiz,минога
petrosel,петрушка
ranunkol,лютик
redaktor,редактор
rezultat,результат
rosmaren,розмарин
sergxent,сержант
sublimat,сублимат
tacxment,отряд
terebint,скипидар
tornistr,ранец
zamenhof,Заменгоф
aleksandr,Александр
anunciaci,благовещение
balustrad,перила
cxambelan,камергер
cxarlatan,шарлатан
deklinaci,склонение
diplomati,дипломатия
ekscelenc,превосходительство
ekzempler,экземпляр
entuziasm,энтузиазм
fortepian,рояль
galanteri,аксессуары
ihxtiokol,рыбий клей
instituci,учреждение
instrukci,инструкция
kancelari,канцелярия
kancelier,канцлер
kataplasm,пластырь
kondolenc,соболезнование
konjugaci,спряжение
konjunkci,союз
konsonant,согласный
korporaci,корпорация
kvaranten,карантин
nominativ,именительный
pentekost,Пятидесятница
piedestal,пьедестал
prepozici,предлог
privilegi,привилегия
promontor,мыс
salamandr,саламандра
testament,завещание
vermicxel,вермишель
interjekci,междометие
supersticx,суеверие
vasxington,Вашингтон
violoncxel,виолончель
arhxitektur,архитектура
interpunkci,пунктуация
jork,Йорк
parok,приход
navig,навигация
kaos,хаос
kimer,химера
korus,хор
monak,монах
iktiokol,ихтиокол
ald,альт
alo,алоэ
api,сельдерей
ari,ария
bas,бас
car,царь
dog,мастиф
dok,док
doz,доза
ego,эго
elf,эльф
etn,этнос
faz,фаза
fon,фон
fuk,обломки
gaz,газ
gem,драгоценность
hum,перегной
jod,йод
jud,еврей
kep,кепи
lat,рейка
lob,доля
mim,мим
mit,миф
muz,муза
nas,ловушка
nav,неф
niz,ястреб
oaz,оазис
opi,опиум
puf,пух
raj,скат
ras,раса
ref,риф
rit,ритуал
rut,рута
sod,сода
tif,тиф
tog,тога
viz,виза
agat,агат
agxi,премия
alen,шило
ambr,амбра
amor,амур
aort,аорта
arom,аромат
astm,астма
astr,небесный
azil,убежище
bard,бард
bomb,бомба
bosk,роща
brom,бром
bust,бюст
cend,цент
cidr,сидр
cirk,цирк
dali,георгин
dign,достоинство
duel,дуэль
duet,дуэт
ebur,слоновая кость
eden,Эдем
egid,щит
erik,вереск
etik,этика
etim,этимон
fars,фарс
fili,филиал
fisk,казна
furi,фурия
gnom,гном
grog,грок
gruz,гравий
gxin,джин
hidr,гидра
hien,гиена
irid,ирис
iris,радужка
istm,перешеек
jesu,Иисус
junk,камыш
kabl,кабель
kali,калий
kame,камео
kast,каста
klor,хлор
kofr,сундук
kolz,рапс
kont,счёт
krab,краб
kres,кресс-салат
kupe,купе
laik,мирянин
lama,лама僧
lanc,копьё
lens,линза
lord,лорд
malt,мальт
mani,мания
medi,среда
milv,коршун
mitr,митра
moru,треска
mosk,мускус
mumi,мумия
naft,нефть
negr,негр
nimb,ореол
norm,норма
obol,обол
ogiv,огива
orgi,оргия
